,iteration,eigenvalue,solution_difference,
,0,1.40785989e+00,7.83791118e-01,
,1,1.40782739e+00,1.38424344e-02,
,2,1.40780742e+00,7.40898890e-03,
,3,1.40779338e+00,4.84335337e-03,
,4,1.40778360e+00,3.49324278e-03,
,5,1.40777663e+00,2.67715027e-03,
,6,1.40777152e+00,2.14009686e-03,
,7,1.40776519e+00,1.53885933e-03,
,8,1.40776296e+00,1.32647704e-03,
,9,1.40776003e+00,1.05387169e-03,
,10,1.40775902e+00,9.48201082e-04,
,11,1.40775767e+00,7.98671580e-04,
,12,1.40775729e+00,7.39258245e-04,
,13,1.40775685e+00,6.49586977e-04,
,14,1.40775681e+00,6.13242853e-04,
,15,1.40775690e+00,5.55877684e-04,
,16,1.40775706e+00,5.32300458e-04,
,17,1.40775746e+00,4.93868113e-04,
,18,1.40775774e+00,4.77883685e-04,
,19,1.40775832e+00,4.51127056e-04,
,20,1.40775867e+00,4.39831926e-04,
,21,1.40775936e+00,4.20442651e-04,
,22,1.40775974e+00,4.12092375e-04,
,23,1.40776050e+00,3.97396964e-04,
,24,1.40776256e+00,3.65048417e-04,
,25,1.40776297e+00,3.60716577e-04,
,26,1.40776377e+00,3.52593072e-04,
,27,1.40776594e+00,3.31975546e-04,
,28,1.40776632e+00,3.28760144e-04,
,29,1.40776704e+00,3.22557714e-04,
,30,1.40776906e+00,3.05723561e-04,
,31,1.40776938e+00,3.03022004e-04,
,32,1.40777002e+00,2.97761092e-04,
,33,1.40777179e+00,2.83157460e-04,
,34,1.40777436e+00,2.62145546e-04,
,35,1.40777460e+00,2.60033407e-04,
,36,1.40777507e+00,2.55892091e-04,
,37,1.40777639e+00,2.44212164e-04,
,38,1.40777833e+00,2.26913689e-04,
,39,1.40777852e+00,2.25157094e-04,
,40,1.40777887e+00,2.21702036e-04,
,41,1.40777989e+00,2.11888870e-04,
,42,1.40778140e+00,1.97170454e-04,
,43,1.40778320e+00,1.79415661e-04,
,44,1.40778509e+00,1.60410036e-04,
,45,1.40778519e+00,1.59206215e-04,
,46,1.40778539e+00,1.56835644e-04,
,47,1.40778597e+00,1.50069411e-04,
,48,1.40778684e+00,1.39827496e-04,
,49,1.40778789e+00,1.27323136e-04,
,50,1.40778903e+00,1.13761603e-04,
,51,1.40779017e+00,1.00133576e-04,
,52,1.40779124e+00,8.71348562e-05,
,53,1.40779130e+00,8.64822324e-05,
,54,1.40779140e+00,8.51961215e-05,
,55,1.40779169e+00,8.15223222e-05,
,56,1.40779213e+00,7.59533501e-05,
,57,1.40779266e+00,6.91415912e-05,
,58,1.40779325e+00,6.17384570e-05,
,59,1.40779384e+00,5.42855826e-05,
,60,1.40779441e+00,4.71639013e-05,
,61,1.40779493e+00,4.06085740e-05,
,62,1.40779540e+00,3.47281753e-05,
,63,1.40779582e+00,2.95543409e-05,
,64,1.40779618e+00,2.50596373e-05,
,65,1.40779649e+00,2.11949022e-05,
,66,1.40779676e+00,1.78915279e-05,
,67,1.40779699e+00,1.50841896e-05,
,68,1.40779718e+00,1.27040989e-05,
,69,1.40779735e+00,1.06933719e-05,
,70,1.40779748e+00,8.99548499e-06,
,71,1.40779760e+00,7.56539079e-06,
,72,1.40779770e+00,6.36010459e-06,
,73,1.40779778e+00,5.34651650e-06,
,74,1.40779785e+00,4.49296691e-06,
,75,1.40779790e+00,3.77588155e-06,
,76,1.40779795e+00,3.17224807e-06,
,77,1.40779799e+00,2.66548386e-06,
,78,1.40779803e+00,2.23898309e-06,
,79,1.40779806e+00,1.88112619e-06,
,80,1.40779808e+00,1.57996905e-06,
,81,1.40779810e+00,1.32738386e-06,
,82,1.40779812e+00,1.11480391e-06,
,83,1.40779813e+00,9.36555275e-07,